Part Name, Quantity, Source, Catalog Number, Link
15V TVS Diode, 4, Digikey, 1727-3813-1-ND, `1727-3813-1-ND <https://www.digikey.com/product-detail/en/nexperia-usa-inc/PESD15VL2BT-215/1727-3813-1-ND/1530818>`_
Banana Jack, 3, Digikey, 36-575-4-ND, `36-575-4-ND <https://www.digikey.com/products/en?keywords=36-575-4-ND>`_
SMA 50Ohm Terminator, 1, Digikey, ACX1251-ND, `ACX1251-ND <https://www.digikey.com/products/en?keywords=ACX1251-ND>`_
1MOhm Resistor, 1, Digikey, 311-1.00MCRCT-ND, `311-1.00MCRCT-ND <https://www.digikey.com/products/en?keywords=311-1.00MCRCT-ND>`_
4.7MOhm Resistor, 1, Digikey, RHM4.70MAHCT-ND, `RHM4.70MAHCT-ND <https://www.digikey.com/product-detail/en/rohm-semiconductor/KTR10EZPF4704/RHM4-70MAHCT-ND/1983987>`_
0Ohm Resistor, 1, Digikey, RMCF0805ZT0R00CT-ND, `RMCF0805ZT0R00CT-ND <https://www.digikey.com/product-detail/en/stackpole-electronics-inc/RMCF0805ZT0R00/RMCF0805ZT0R00CT-ND/1942606>`_
ADA4625 opamp, 1, Digikey, ADA4625-1ARDZ-R7CT-ND, `ADA4625-1ARDZ-R7CT-ND <https://www.digikey.com/product-detail/en/analog-devices-inc/ADA4625-1ARDZ-R7/ADA4625-1ARDZ-R7CT-ND/9385719>`_
10uF decoupling cap, 2, Digikey, 490-10515-1-ND, `490-10515-1-ND <https://www.digikey.com/products/en?keywords=490-10515-1-ND>`_
100nF decoupling cap, 2, Digikey, 399-1169-1-ND, `399-1169-1-ND <https://www.digikey.com/product-detail/en/kemet/C0805C104M5RACTU/399-1169-1-ND/411444>`_
1pF feedback cap, 1, Digikey, 311-4124-1-ND, `311-4124-1-ND <https://www.digikey.com/product-detail/en/yageo/CC0805BRNPO9BN1R0/311-4124-1-ND/8025213>`_
SMA Jack, 3, Digikey, CON-SMA-EDGE-S-ND, `CON-SMA-EDGE-S-ND <https://www.digikey.com/products/en?keywords=CON-SMA-EDGE-S-ND%09>`_
